ups non doc,,,,,,,,,,,,,,,,,,,,,,,
WEIGHT_KG,USA,Canada,"Mexico, Puerto Rico",Germany,"Belgium, Netherlands, Luxembourg",UK,"Denmark, France, Italy, Spain, Switzerland","Austria, Ireland, Portugal, Sweden","Norway, Finland, Greece",Japan,South Korea,"Hong Kong, Singapore, Thailand, Malaysia",Australia,New Zealand,ZONE 1,ZONE 2,ZONE 3,ZONE 4,ZONE 6,ZONE 10,ZONE 7,ZONE 8,ZONE 9
45+/ Kg,700,717,717,528,556,559,567,592,606,1177,1177,827,918,1054,927,861,1227,670,1172,1490,707,735,746
50+/ Kg,695,717,717,529,537,560,569,570,608,1261,1261,741,909,1053,796,771,1315,624,994,1302,663,689,699
60+/ Kg,695,717,717,472,472,479,479,515,548,1309,1309,948,909,1053,861,987,1365,600,1182,1565,663,689,699
70+/ Kg,694,706,706,471,471,479,479,516,549,1275,1275,918,915,1054,941,956,1329,580,1205,1531,644,669,679
100+/ Kg,694,706,706,471,471,479,479,516,549,1298,1298,922,915,1050,938,961,1353,605,1287,1555,644,669,679
300+/ Kg,694,706,706,471,471,479,479,516,549,1309,1309,955,915,1048,941,994,1366,607,1321,1582,644,669,679
500+/ Kg,694,706,706,471,471,479,479,516,549,1309,1309,1008,915,1045,957,1050,1365,615,1363,1602,644,669,679
24.5,15865,21622,17061,20208,20617,19514,23498,23975,25428,27005,33062,23994,16623,33069,33069,33093,33062,,,,,,
25,16073,21945,17354,20602,20985,19819,23865,24396,25818,27501,33788,24371,16842,33794,33794,33820,33788,,,,,,
25.5,16321,22308,17684,21034,21391,20253,24425,24855,26336,28036,34552,24941,17100,34558,34558,34585,34552,,,,,,
26,16529,22631,17977,21428,21758,20558,24791,25276,26726,28532,35278,25319,17319,35283,35283,35312,35278,,,,,,
26.5,16776,22993,18308,21861,22164,20991,25351,25735,27244,29067,36042,25889,17576,36047,36047,36077,36042,,,,,,
27,16984,23317,18600,22255,22531,21296,25718,26155,27634,29563,36768,26266,17795,36772,36772,36804,36768,,,,,,
27.5,17231,23679,18931,22688,22937,21730,26278,26615,28152,30098,37533,26837,18053,37536,37536,37569,37533,,,,,,
28,17440,24003,19223,23082,23304,22035,26645,27035,28542,30594,38258,27214,18272,38261,38261,38296,38258,,,,,,
28.5,17686,24365,19554,23514,23710,22468,27205,27494,29060,31129,39022,27784,18529,39025,39025,39061,39022,,,,,,
29,17895,24688,19847,23908,24077,22773,27571,27915,29450,31625,39748,28161,18748,39750,39750,39787,39748,,,,,,
29.5,18142,25051,20178,24341,24483,23206,28131,28374,29968,32160,40512,28732,19006,40514,40514,40553,40512,,,,,,
30,18350,25374,20470,24735,24850,23511,28498,28795,30358,32656,41238,29109,19225,41239,41239,41279,41238,,,,,,
30.5,18597,25737,20801,25168,25256,23945,29058,29254,30876,33191,42002,29679,19482,42003,42003,42045,42002,,,,,,
31,18805,26060,21093,25562,25623,24250,29424,29674,31266,33687,42728,30056,19701,42728,42728,42771,42728,,,,,,
31.5,19052,26422,21424,25994,26029,24683,29984,30133,31784,34222,43492,30627,19959,43492,43492,43536,43492,,,,,,
32,19261,26746,21717,26389,26396,24988,30351,30554,32174,34718,44218,31004,20178,44217,44217,44263,44218,,,,,,
32.5,19508,27108,22048,26821,26802,25421,30911,31013,32692,35253,44982,31574,20435,44981,44981,45028,44982,,,,,,
33,19716,27432,22340,27215,27170,25727,31277,31433,33082,35749,45708,31951,20654,45706,45706,45755,45708,,,,,,
