aramax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight (kg),UAE,BAHRAIN/OMAN/KUWAIT,SAUDI,EGYPT/JORDAN/YEMEN/LEBANON/CYPRUS/TURKEY,QATAR,TAIWAN/VIETNAM,SINGAPORE,MALAYSIA,THAILAND,PHILIPPINES,NEPAL,BANGLADESH,SRI LANKA,HONG KONG,PAKISTAN/CHINA/KOREA/INDONESIA,MALDIVES,UK-PPX,UK-GPX,JAPAN,NEW ZEALAND,ITALY,GERMANY,FRANCE,EUROPE*,CAUCASUS,RUSSIA/EEU,BAH/KW-DPX (>11kg/21kg),OMAN-GPX (>11kg/21kg),SAUDI-GPX (>11kg/21kg),EGYPT/JO/LB-DPX (>20kg),TURKEY-DPX (>20kg)
15.5,3627,5610,7713,8846,5377,9287,4967,9109,10676,14456,4344,5082,3956,1753,14478,8396,3654,3654,15165,11164,4178,4151,6033,18497,12506,18155,4209,3968,5599,0,0
16,3626,5610,7702,8835,5376,9464,5131,9403,11021,14923,4484,5232,4084,1809,14862,8588,3750,3750,15489,11467,4289,4262,6202,19082,12893,18703,4346,4098,5795,0,0
16.5,3853,5960,8194,9398,5712,9641,5295,9697,11365,15389,4624,5382,4211,1866,15415,8779,3846,3846,15933,11755,4418,4391,6387,19667,13279,19251,4485,4229,5939,0,0
17,3853,5959,8183,9388,5711,9818,5459,9991,11709,15855,4764,5532,4339,1922,15799,8971,3942,3942,16257,12043,4530,4503,6556,20252,13666,19798,4616,4346,6121,0,0
17.5,4079,6310,8675,9951,6047,9995,5623,10285,12054,16322,4904,5682,4467,1979,16353,9162,4038,4038,16713,12331,4658,4631,6742,20837,14053,20346,4751,4477,6330,0,0
18,4079,6310,8664,9940,6046,10172,5787,10579,12398,16788,5044,5832,4594,2035,16736,9354,4134,4134,17038,12619,4770,4743,6911,21422,14440,20893,4894,4607,6513,0,0
18.5,4305,6660,9157,10503,6383,10349,5951,10872,12743,17254,5185,5982,4722,2092,17290,9545,4230,4230,17490,12907,4899,4872,7097,22007,14827,21441,5025,4738,6683,0,0
19,4306,6659,9146,10492,6383,10526,6115,11166,13087,17721,5325,6132,4849,2148,17674,9737,4326,4326,17818,13195,5010,4983,7266,22592,15213,21988,5155,4868,6865,0,0
19.5,4531,7010,9638,11055,6718,10703,6279,11460,13431,18187,5465,6282,4977,2205,18228,9929,4422,4422,18275,13483,5139,5112,7452,23177,15600,22536,5286,4986,7048,0,0
20,4531,7010,9627,11044,6719,10667,6443,11754,13776,18653,5605,6431,5105,2262,18611,10120,4518,4518,18585,13772,5251,5224,7621,23762,15987,23084,5430,5116,7244,0,0
20+,226,349,471,530,335,563,328,594,698,943,293,322,258,140,921,527,226,226,929,606,240,239,318,1188,799,1154,261,245,346,292,352
25+,226,349,464,530,335,565,328,594,698,943,293,322,258,140,921,492,226,226,915,606,240,239,318,1188,799,1154,261,245,346,292,352
30+,226,349,419,515,335,563,328,594,698,943,293,322,258,140,873,474,226,226,929,603,240,239,318,1182,791,1134,261,245,346,292,352
40+,226,349,413,508,335,562,328,594,698,943,293,322,258,140,849,465,226,226,804,603,240,239,318,1179,786,1125,261,245,346,286,337
50+,226,349,410,511,335,541,328,594,698,943,293,322,258,140,834,582,226,226,804,603,240,239,318,1177,784,1119,261,245,346,277,326
70+,226,349,410,505,335,657,328,594,698,943,293,322,258,140,817,570,226,226,789,603,240,239,318,1174,779,1107,261,245,346,277,326
